trip_distance_bin,avg_tip
10.72,6.807727
10.76,6.7941623
10.78,6.76728
10.88,6.8096156
10.92,6.863955
11.02,7.0826755
11.18,6.738238
11.21,6.97326
11.33,6.926622
11.45,6.9681506
11.52,6.9613233
11.62,7.087298
11.71,6.9654
11.76,6.9806046
11.84,6.9999876
12.04,7.0638347
12.11,7.012078
12.13,7.016268
12.32,7.2236743
12.34,7.13235
12.58,7.3523035
12.62,7.033417
12.69,7.1648827
12.73,7.213116
12.75,7.2511706
12.82,7.297925
12.92,7.2272096
12.96,7.1565
12.98,7.252072
13.01,7.1782136
13.07,6.923787
13.17,7.3302393
13.23,7.436177
13.29,7.252453
13.37,7.0401506
13.59,7.325693
13.66,7.447985
13.71,7.36873
13.85,7.424296
13.9,7.7272987
13.98,7.466353
14.0,7.711258
14.08,7.425972
14.1,7.626503
14.13,7.3399487
14.29,7.4897146
14.36,7.3307557
14.59,7.7471366
14.64,7.614603
14.72,7.719885
14.75,7.6003556
14.97,7.77631
15.05,7.8801646
15.12,7.6879106
15.13,7.8594975
15.2,8.168641
15.28,7.872429
15.4,8.273082
15.41,7.6730547
15.45,8.122563
15.58,8.084885
15.81,8.507997
15.82,8.031194
15.87,8.098663
15.88,8.327921
15.96,8.124805
15.98,8.5228405
16.15,8.520979
16.26,8.484007
16.3,8.549797
16.35,8.415897
16.41,8.514186
16.47,8.106882
16.48,8.228847
16.57,8.475246
16.73,8.197473
16.81,8.65757
16.92,8.3826885
16.96,8.867907
16.98,8.528048
16.99,8.886502
17.06,8.704606
17.12,8.847043
17.16,8.466778
17.24,8.826211
17.29,8.634607
17.3,8.648225
17.43,8.662463
17.51,8.32171
17.57,8.400821
17.73,8.481345
17.8,8.657084
17.83,9.0100355
18.03,8.668001
18.05,8.743088
18.23,8.621185
18.24,8.575727
18.27,8.477908
18.28,8.696083
18.5,8.593506
18.64,8.727242
18.66,8.6733465
18.67,8.569116
18.76,8.529424
18.82,8.865296
19.05,8.547542
19.18,8.995807
19.23,9.510319
19.4,8.927985
19.67,8.745762
19.7,9.014983
19.76,8.531889
19.83,8.737508
19.97,9.661642
20.14,9.5921
20.27,8.980619
20.3,9.35227
20.4,9.127941
20.48,9.773642
20.52,10.002012
20.55,9.653614
20.57,9.605789
20.75,9.9524555
20.79,9.189854
20.88,9.2132225
20.95,9.639147
21.02,9.797624
21.03,9.153018
21.13,7.698593
21.14,8.506443
21.27,8.613567
21.28,9.014017
21.29,8.827692
21.31,9.877164
21.33,8.435123
21.5,9.04878
21.54,8.832759
21.8,8.83621
21.83,8.82796
21.99,9.01875
22.03,9.377418
22.2,8.808743
22.22,8.200134
22.33,10.149024
22.49,9.383886
22.58,9.750761
22.66,9.672614
22.68,8.758333
22.81,7.863353
22.85,9.304155
22.86,9.362384
22.87,9.466242
23.0,10.0644245
23.09,9.758807
23.13,10.318544
23.22,11.467053
23.25,9.576145
23.33,10.745159
23.38,10.211229
23.39,9.151615
23.45,8.416522
23.88,9.410526
23.93,11.763898
23.94,10.6
23.97,9.2070875
24.39,11.424141
24.46,11.549205
24.61,11.146219
24.66,10.581375
24.76,10.729737
24.82,11.438875
24.9,11.983327
24.91,12.412778
24.98,12.763611
25.01,12.821831
25.26,10.350132
25.36,11.478778
25.4,11.919889
25.41,11.2841425
25.47,12.828219
25.49,9.733288
25.51,13.184412
25.54,12.320572
25.57,12.006185
25.6,11.989687
25.63,13.822727
25.72,11.617033
25.89,10.343246
26.15,12.294893
26.18,12.333537
26.34,10.7517
26.58,12.918181
26.76,11.580577
26.82,11.92828
26.85,13.15
27.02,12.319885
27.08,11.191905
27.15,10.921375
27.28,11.599529
27.33,13.163195
27.58,10.73625
27.71,11.9765625
27.91,14.6375
28.16,12.346842
28.18,11.111132
28.26,12.758245
28.38,14.451591
28.39,11.877778
28.56,12.8424
28.6,13.218006
28.62,15.446667
28.77,11.864325
28.87,14.240294
28.96,11.77225
29.04,13.801
29.12,10.483334
29.24,13.989804
29.26,10.219706
29.32,13.419286
29.33,13.705263
29.34,14.373333
29.39,14.34946
29.43,12.775
29.45,13.001935
29.57,12.783333
29.59,15.10282
29.72,14.600244
29.84,17.297419
29.86,22.46
29.92,14.867
30.03,17.807932
30.14,9.985385
30.23,17.864286
30.44,14.1959095
30.56,13.000476
30.69,13.871364
30.73,20.159473
30.85,15.361
30.87,14.4023075
30.97,14.129375
30.99,16.82294
31.02,19.173
31.06,12.205
31.09,23.09625
31.25,15.137727
31.33,15.104074
31.35,21.878235
31.39,13.757222
31.47,18.760952
31.53,16.133749
31.55,20.123888
31.68,19.497368
31.95,15.136429
31.98,14.655882
32.19,21.645264
32.25,18.833044
32.48,24.758095
32.52,13.755263
32.58,17.250834
32.59,22.681818
32.61,11.121111
32.73,18.767334
32.76,15.5199995
32.9,16.208693
32.93,16.059166
33.01,16.474167
33.03,14.840625
33.11,15.194285
33.24,13.20909
33.27,20.9
33.28,22.68
33.32,17.859285
33.43,17.895
33.53,19.44
33.67,18.569166
33.7,15.812439
33.87,16.624285
33.99,15.312353
34.01,18.963333
34.12,19.7125
34.14,10.906667
34.6,17.352179
34.62,20.303
34.65,20.924444
34.68,26.63889
34.71,14.780833
34.72,15.529091
34.73,16.535
34.76,18.659231
34.77,17.179285
34.78,14.285714
34.84,16.190908
34.94,21.743334
35.03,17.41625
35.1,15.913954
35.18,19.317333
35.19,15.826
35.27,22.889166
35.29,19.586874
35.33,18.793077
35.39,27.73625
35.52,21.384167
35.6,17.206785
35.8,14.981733
35.88,25.331667
36.07,14.974167
36.08,17.476875
36.19,24.402857
36.22,19.250626
36.29,23.597692
36.43,17.485
36.58,13.354285
36.61,18.493334
36.81,27.174444
36.96,14.989375
36.98,22.478334
37.21,18.1975
37.22,13.776667
37.36,17.373333
37.48,24.75
37.72,12.46875
37.9,18.893333
37.91,11.368889
37.92,23.44375
38.11,44.013332
38.15,22.992727
38.25,15.375
38.37,22.278334
38.62,27.338
38.91,15.1285715
39.07,32.13
39.12,26.254545
39.14,20.294445
39.18,16.595
39.25,10.508889
39.36,44.96
39.64,12.895
39.65,28.152222
39.73,27.926666
39.8,15.116451
39.82,13.36
40.09,0.0
40.19,13.032499
40.2,26.168438
40.27,5.84
40.29,21.286667
40.59,14.436
40.81,22.103333
40.87,30.99
40.93,3.3333333
40.95,19.154999
41.0,15.090589
41.01,19.366667
41.05,13.526667
41.2,26.686382
41.37,18.61
41.38,26.865
41.4,23.507812
41.42,10.0
41.47,22.715
41.49,10.4
41.52,25.09
41.79,30.0
42.02,17.59
42.03,22.34
42.15,39.81
42.27,15.03
42.4,15.639375
42.51,0.0
42.52,35.01
42.57,23.414999
42.65,10.875
42.77,17.939999
42.78,57.82
42.96,48.535
43.01,16.348
43.02,7.5
43.08,18.564999
43.26,24.704
43.3,21.80613
43.37,30.926666
43.39,18.136667
43.52,39.09
43.68,23.106667
43.75,21.326666
43.9,21.2
43.96,33.85
44.03,12.5
44.19,33.323334
44.21,27.53
44.28,18.84
44.31,25.703333
44.4,16.78625
44.43,22.78
44.48,23.886667
44.5,21.242332
44.65,27.81
44.77,39.593334
44.78,10.2525
44.9,24.220667
45.13,25.244999
45.17,31.396
45.41,0.0
45.44,47.485
45.48,40.835
45.55,20.125
45.57,11.0
45.62,21.83
45.74,89.020004
45.83,36.205
45.95,22.58
46.04,37.93
46.08,15.29
