fare_amount_bin,avg_tip
55.36,0.0
55.37,0.0
55.39,0.0
55.48,0.0
55.65,3.7166665
55.69,0.0
55.86,2.4959998
55.9,0.0
55.97,0.0
56.0,8.628312
56.02,0.0
56.04,0.0
56.14,0.0
56.25,6.955
56.32,0.0
56.44,0.0
56.45,0.0
56.46,0.0
56.5,8.7195215
56.59,0.0
56.65,3.8500001
56.75,2.8777778
56.78,0.0
56.85,0.0
57.09,8.6175
57.1,0.0
57.17,0.0
57.25,6.8275003
57.41,0.0
57.42,0.0
57.44,0.0
57.45,6.1400003
57.67,3.8966665
57.85,8.059999
57.95,5.0
58.02,3.92
58.39,11.84
58.43,9.475
58.67,10.875
58.69,0.0
58.82,0.0
58.84,9.58
58.94,1.88
59.16,0.0
59.17,0.0
59.39,0.0
59.41,0.0
59.45,0.0
59.57,0.0
59.85,12.58
59.96,0.0
60.11,0.0
60.12,0.0
60.34,0.0
60.4,0.0
60.55,0.0
60.56,3.9275
60.6,12.18
60.7,3.8125
60.77,0.0
61.34,2.6933334
61.43,0.0
61.66,0.0
61.69,0.0
61.83,0.0
61.88,0.0
61.97,0.0
62.08,6.26
62.11,5.2433333
62.15,12.59
62.22,9.75
62.29,0.0
62.49,0.0
62.5,10.101387
62.73,6.0
62.75,7.9866667
62.93,3.19
63.08,11.096818
63.28,0.0
63.3,10.658095
63.31,0.0
63.32,7.915
63.41,0.0
63.46,12.75
63.66,0.0
63.82,8.08
63.85,6.415
63.89,17.61
63.9,11.26
64.34,0.0
64.46,12.975
64.66,0.0
64.82,10.0
64.9,12.043333
65.2,9.9
65.21,11.6
65.26,0.5
65.38,6.62
65.5,11.223588
65.61,0.0
65.77,0.0
65.85,14.885
66.0,11.372019
66.15,4.0
66.4,8.34
66.44,0.0
66.64,0.0
66.65,13.35
67.03,13.47
67.05,6.725
67.14,0.0
67.16,0.0
67.2,8.84
67.3,9.415
67.32,16.895
67.38,0.0
67.68,0.0
67.73,8.105
67.84,12.553333
68.1,17.925
68.18,0.0
68.3,11.159091
68.39,13.74
68.62,0.0
68.86,0.0
69.1,11.0
69.13,0.0
69.27,0.0
69.36,10.621538
69.47,17.44
69.68,0.0
69.76,15.25
69.99,15.86
70.0,11.169742
70.53,0.0
70.65,7.095
71.05,14.27
71.06,0.0
71.09,0.0
71.49,10.0
71.56,9.67
71.57,8.0
72.5,12.871189
72.99,23.86
73.2,7.375
